time_sec,x,y,vx,vy,sampling_time_sec,actuator_id,command,actuator_position_mm,actuator_speed_mms,event_type
0.028,,,,,,1570,,,,CAN_SEND
0.230,,,,,,1572,,,,CAN_SEND
0.432,,,,,,1574,,,,CAN_SEND
0.634,,,,,,0,,,,CAN_SEND
0.837,,,,,,0,,,,CAN_SEND
1.039,,,,,,0,,,,CAN_SEND
1.242,,,,,,546,,,,CAN_SEND
1.444,,,,,,548,,,,CAN_SEND
1.646,,,,,,550,,,,CAN_SEND
1.890,,,0.052,-0.140,1744849540.422,550,,,,GPS_FRAME
1.903,1346945.280,1844211.200,0.052,-0.140,1744849540.422,550,,,,INITIAL_POSITION
1.913,1346945.280,1844211.200,0.052,-0.140,1744849540.422,22,,100.0,,PDO_FEEDBACK
1.956,1346945.280,1844211.200,0.052,-0.140,1744849540.422,22,,100.0,,PDO_FEEDBACK
1.991,1346945.280,1844211.200,0.052,-0.140,1744849540.422,22,,100.0,,PDO_FEEDBACK
2.022,1346945.280,1844211.200,0.052,-0.140,1744849540.422,22,,100.0,,PDO_FEEDBACK
2.053,1346945.280,1844211.200,0.052,-0.140,1744849540.422,22,,100.0,,PDO_FEEDBACK
2.111,1346945.280,1844211.200,0.052,-0.140,1744849540.422,22,,100.0,,PDO_FEEDBACK
2.267,1346945.280,1844211.200,0.052,-0.140,1744849540.422,22,,100.0,,PDO_FEEDBACK
2.290,1346945.280,1844211.200,0.011,-0.161,1744849540.821,22,,100.0,,GPS_FRAME
2.302,1346944.813,1844211.213,0.011,-0.161,1744849540.834,22,,100.0,,RELATIVE_FRAME
2.517,1346944.813,1844211.213,0.011,-0.161,1744849540.834,22,,100.0,,PDO_FEEDBACK
2.703,1346944.813,1844211.213,-0.136,-0.174,1744849541.234,22,,100.0,,GPS_FRAME
2.717,1346944.333,1844211.680,-0.136,-0.174,1744849541.249,22,,100.0,,RELATIVE_FRAME
2.768,1346944.333,1844211.680,-0.136,-0.174,1744849541.249,22,,100.0,,PDO_FEEDBACK
3.017,1346944.333,1844211.680,-0.136,-0.174,1744849541.249,22,,100.0,,PDO_FEEDBACK
3.090,1346944.333,1844211.680,-0.113,-0.116,1744849541.621,22,,100.0,,GPS_FRAME
3.101,1346944.000,1844211.680,-0.113,-0.116,1744849541.632,22,,100.0,,RELATIVE_FRAME
3.267,1346944.000,1844211.680,-0.113,-0.116,1744849541.632,22,,100.0,,PDO_FEEDBACK
3.497,1346944.000,1844211.680,-0.012,-0.056,1744849542.029,22,,100.0,,GPS_FRAME
3.507,1346943.853,1844212.000,-0.012,-0.056,1744849542.038,22,,100.0,,RELATIVE_FRAME
3.517,1346943.853,1844212.000,-0.012,-0.056,1744849542.038,22,,100.0,,PDO_FEEDBACK
3.767,1346943.853,1844212.000,-0.012,-0.056,1744849542.038,22,,100.0,,PDO_FEEDBACK
3.893,1346943.853,1844212.000,0.033,-0.097,1744849542.424,22,,100.0,,GPS_FRAME
3.905,1346943.693,1844212.000,0.033,-0.097,1744849542.436,22,,100.0,,RELATIVE_FRAME
4.017,1346943.693,1844212.000,0.033,-0.097,1744849542.436,22,,100.0,,PDO_FEEDBACK
4.268,1346943.693,1844212.000,0.033,-0.097,1744849542.436,22,,100.0,,PDO_FEEDBACK
4.290,1346943.693,1844212.000,0.023,-0.135,1744849542.822,22,,100.0,,GPS_FRAME
4.301,1346943.360,1844212.000,0.023,-0.135,1744849542.833,22,,100.0,,RELATIVE_FRAME
4.517,1346943.360,1844212.000,0.023,-0.135,1744849542.833,22,,100.0,,PDO_FEEDBACK
4.703,1346943.360,1844212.000,0.034,-0.189,1744849543.234,22,,100.0,,GPS_FRAME
4.714,1346943.213,1844212.160,0.034,-0.189,1744849543.245,22,,100.0,,RELATIVE_FRAME
4.767,1346943.213,1844212.160,0.034,-0.189,1744849543.245,22,,100.0,,PDO_FEEDBACK
5.017,1346943.213,1844212.160,0.034,-0.189,1744849543.245,22,,100.0,,PDO_FEEDBACK
5.091,1346943.213,1844212.160,-0.028,-0.130,1744849543.622,22,,100.0,,GPS_FRAME
5.101,1346943.040,1844212.333,-0.028,-0.130,1744849543.633,22,,100.0,,RELATIVE_FRAME
5.268,1346943.040,1844212.333,-0.028,-0.130,1744849543.633,22,,100.0,,PDO_FEEDBACK
5.494,1346943.040,1844212.333,-0.120,-0.106,1744849544.025,22,,100.0,,GPS_FRAME
5.504,1346942.560,1844212.640,-0.120,-0.106,1744849544.036,22,,100.0,,RELATIVE_FRAME
5.517,1346942.560,1844212.640,-0.120,-0.106,1744849544.036,22,,100.0,,PDO_FEEDBACK
5.767,1346942.560,1844212.640,-0.120,-0.106,1744849544.036,22,,100.0,,PDO_FEEDBACK
5.890,1346942.560,1844212.640,-0.031,-0.050,1744849544.422,22,,100.0,,GPS_FRAME
5.905,1346942.400,1844212.800,-0.031,-0.050,1744849544.437,22,,100.0,,RELATIVE_FRAME
6.019,1346942.400,1844212.800,-0.031,-0.050,1744849544.437,22,,100.0,,PDO_FEEDBACK
6.267,1346942.400,1844212.800,-0.031,-0.050,1744849544.437,22,,100.0,,PDO_FEEDBACK
6.291,1346942.400,1844212.800,-0.060,0.106,1744849544.823,22,,100.0,,GPS_FRAME
6.303,1346942.240,1844213.280,-0.060,0.106,1744849544.835,22,,100.0,,RELATIVE_FRAME
6.517,1346942.240,1844213.280,-0.060,0.106,1744849544.835,22,,100.0,,PDO_FEEDBACK
6.702,1346942.240,1844213.280,0.036,0.141,1744849545.234,22,,100.0,,GPS_FRAME
6.714,1346942.080,1844213.280,0.036,0.141,1744849545.246,22,,100.0,,RELATIVE_FRAME
6.767,1346942.080,1844213.280,0.036,0.141,1744849545.246,22,,100.0,,PDO_FEEDBACK
6.857,1346942.080,1844213.280,0.036,0.141,1744849545.246,546,open,100.0,,CAN_SEND
7.017,1346942.080,1844213.280,0.036,0.141,1744849545.246,22,open,23.2,,PDO_FEEDBACK
7.092,1346942.080,1844213.280,-0.019,0.079,1744849545.623,22,open,23.2,,GPS_FRAME
7.101,1346941.920,1844213.760,-0.019,0.079,1744849545.633,22,open,23.2,,RELATIVE_FRAME
7.267,1346941.920,1844213.760,-0.019,0.079,1744849545.633,22,open,-28.0,,PDO_FEEDBACK
7.495,1346941.920,1844213.760,0.080,0.003,1744849546.027,22,open,-28.0,,GPS_FRAME
7.502,1346941.920,1844213.760,0.080,0.003,1744849546.034,22,open,-28.0,,RELATIVE_FRAME
7.517,1346941.920,1844213.760,0.080,0.003,1744849546.034,22,open,-2.4,,PDO_FEEDBACK
7.767,1346941.920,1844213.760,0.080,0.003,1744849546.034,22,open,-2.4,,PDO_FEEDBACK
7.862,1346941.920,1844213.760,0.080,0.003,1744849546.034,1558,SDO_READ,-2.4,,CAN_SEND
7.891,1346941.920,1844213.760,0.074,-0.060,1744849546.422,1558,SDO_READ,-2.4,,GPS_FRAME
7.904,1346941.760,1844213.613,0.074,-0.060,1744849546.435,1558,SDO_READ,-2.4,,RELATIVE_FRAME
8.267,1346941.760,1844213.613,0.074,-0.060,1744849546.435,22,SDO_READ,-2.4,,PDO_FEEDBACK
8.292,1346941.760,1844213.613,0.116,-0.057,1744849546.824,22,SDO_READ,-2.4,,GPS_FRAME
8.304,1346941.600,1844213.613,0.116,-0.057,1744849546.836,22,SDO_READ,-2.4,,RELATIVE_FRAME
8.516,1346941.600,1844213.613,0.116,-0.057,1744849546.836,22,SDO_READ,-2.5,,PDO_FEEDBACK
8.704,1346941.600,1844213.613,0.000,0.008,1744849547.236,22,SDO_READ,-2.5,,GPS_FRAME
